,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2358,MASTER,gprpG4ngxWUUrGAPAvj7Xzcic41835QEtQjtovNdpdk8-Bc,DarkWin I,435,264,241,False,False,True,False
2359,MASTER,nxs3boMNnpk_kefc4qB4vTQu3C7wJU3uGndE8M5H-Jkh,1 L,549,294,247,False,False,False,False
2360,MASTER,uvBbZryGykK1SRYf9iF8bprwi20xcAKROmD7OpYbtlmY35E,Kruo,313,123,94,False,False,True,True
2361,MASTER,jMAkn7BMy1vb1KunYfSQcsiwwqCOJ2T1D_FPpvRhAeft,tsctsctsctsc,501,270,247,True,False,False,False
2362,MASTER,-sm5bR6i_Prdo5UBwRJ2DSShKqRi_WfEDvPRp9kc_-QiJ6U,NEJlRE HADO,514,118,58,False,False,False,True
2363,MASTER,OJI7rftSoe4EObHAj5g-XNSE5N6ErH0qmmh5ddvM_rojiQ,vauban,331,416,392,False,False,False,False
2364,MASTER,bLz95_XLPlfx_0BSo1EzXybsurjDUO1h0C_Pi9r_s2BZvA,SOUGAGAGO RAÍZ,503,510,488,True,False,False,False
2365,MASTER,nLtBReRroZsp-O82JWuJKAdsORwS_hY9GNg8LkjtTcBwDw,Senhor Vento,354,157,134,False,False,False,False
2366,MASTER,Rk7pmh5_A15ZYruOwFuniGikkZ0GDpJu0_ueTY0CKQU8K0A,cleanin out,356,305,209,False,False,True,False
2367,MASTER,Sd_M5ocAdEISiK5a7Yrke2rwQF907vmD6duLa5X6-W4b3g,SrJohnL,302,375,355,False,False,False,False
2368,MASTER,vlEnzELESd4ooY_GjYCoHSN6JIeLRrOS9c47X7EqP0re,2bad4you,436,197,154,False,False,False,False
2369,MASTER,2_U4BzmGxtAArv7T4PSVQGAS5UmTde3UE0HoyEn1DPC9WRs,depresive adc,293,262,236,False,False,True,True
2370,MASTER,lA3nrcTrVlAOC0g9D_pej30CG81he66kXU3wyw5OspuPxQ,MAZE Karsa,625,320,283,False,False,True,True
2371,MASTER,MuyrGnqYbprrw9k_lKn1uTUgaVwwLQlMskMIhUu1_v7ZSy8,Turoke,372,131,105,True,False,False,False
2372,MASTER,xkKsczUVXoraZlTnwnTjZpxJ8bAPfS_BrU7Q84XlWpMuHQ,FREE AGENT SUPP,501,917,883,False,False,False,False
2373,MASTER,rhIE4Mf6Z37CByR7ly95fC2gTaThXzCqRtZJ8DOYdttnRWs,Asteek,398,525,514,True,False,False,True
2374,MASTER,ZRMMGYJzfK0rn3WvzbQbBU5bf1pz7BkRFjmMken3LMPzfWk,Otaku Fitness,414,127,104,False,False,False,False
2375,MASTER,QfxTYsUps1uMz8j1VcNrSr33fT5uxhmDrLJ6bDSyTibJVA,dont type,321,198,171,False,False,True,False
2376,MASTER,yQIrCaGh0mCNDyO6U18Dr2K3HxyLcye2StHqd7jr3Jy6aD4,Baiano Bixeiro,415,373,346,False,False,False,False
2377,MASTER,3qRraQ3af7PY29E2sZcTsNaIeYf5_PjnkVmiGMORldv4ICs,NASHE NASHE ,476,382,338,False,False,True,False
2378,MASTER,teAJl0L6qryj9iwaaOej0uQnmQdINvVHKHBo5x1JfaUdxg,Lehner,482,484,459,True,False,False,True
2379,MASTER,zV8t-VgOEPcsQHkWFP6hRYgRYvyKoldBVgIH__dE7eI1,wayzera,587,443,408,True,False,False,True
2380,MASTER,uExVxzIyjhJMlIkW4vZWUK463ifH9TqnJeEAj1nY7t2pvA,bolacafusa,455,344,277,False,False,False,False
2381,MASTER,V75Dv6-l14hGInUxJILhfJ_0goaUBkxqO2ke2zgLPETwxg,Frepz,688,761,732,False,False,True,True
2382,MASTER,f8qm340Fp2UFrNmpaKfHAEpWvgETBziba6ng2KhMjXQt,Lynter,495,359,327,False,False,False,False
2383,MASTER,-hFl21ikNaOJR5s_MpK4STD55ZVNJu0Ow-MQ18CJtvP_6g,pathetic luqque,269,895,880,False,False,True,False
2384,MASTER,cZ3_87HzBs1TnIpqKeI6NtGgWlZvBM5eD2e2j2_i1A_n,VTX Salsicha,499,436,420,False,False,False,False
