summonerName,accountId,summonerLevel,puuid
HAAANNNKKKKKKKK1,MlmtFKA3tI4f3v0SZ3C4IDnjPyTM1ymFNASxePXv3iXl,181,psvjU4pEnHYnlw7PVG1Umc2NGEjRhBtVRB7A8Pf7JGM_OqkOLEve4zPjJ4CHOASAMgkJY7e5ysNigA
ballão,XRHZfoso_OZKF9eGdiF476jbNNml5gMB0SsMZnWOF_c3LGE,297,AXQqFtiqTXvnfRj5Q-pfDZdzM991sSoklNKla_PbWMSue2XZeiDRBggPKusn3tWploH5LMBvy_kDrg
Ferdan,ZmmviMDJB-IXzvpOTQCySAuzNCnCnC0z5kIfZn7oPYc,218,WJwSt_br0DhgEhTVolfVHVn0Q8s6OeoDJzCdwqtCu8ys9tYqiIDxZIIb_oXejUDXQZGjKtrfRlupDw
Rozzatti,tOTfD-CL1kse7tt8B2o9Wijugr2NKhCceYDx8JdPqG_amtU,247,ZwlgN7EYC0UTXaIbgSI4D1SKMsj6Bn8PQIzJ0BxIt66npjCW8NLw6Kn86mkOjjF5AJkO_DL_DNn_VA
hina ryu,bFGSniAO1EbkuE_15MSA_tVBd4Bjri26LB6Aclbs1847kBc,490,vVlS48DLUsVMULObCy6Kl_2G94X0DE2hWqC_bzHVhr1DQNhB6KzFTLeAo9ux_wi2Jt6Xh_dnTkiJTQ
Darknesmad,mIa-QDKylEPfN9jMk0LbduDQhVgAqmIAz1yu-Q0stsAyR84,120,uv_0WsTBHD56RI2k7Se0Kh7j8gFOO2s0jwZ7MlqRMazA5b3NsT-U0DV4I3N5fznXdZ8Oa6d-m07DCw
Zcisor,2_0_aQHCxac5lLj56udX8jEWO-DkkXnGIBZinpA2iJ87sZk,166,aT9ObTzuIRRPYO_cbmYXCg0y0Ie7HPWp55w_sSCr9xP6lOPE2owv2Wr_wrkaRcxlgx9BBa1EcyA-Xg
u ll be my girl,egHMqx_JEt_bPkKd5XS5xe5aSlywI75n4toBZSHsXxo,214,dL-fwAe92iLewWRslCp4FhkZ0x-PdPHHpbnGBHFubXCuOXFj8rUtnRDLpZ9D-ynSdhBwI4JwHpZ5zA
Guilherme Kath,I_yX2IGH8UmyUJyJmVEtXqM4SUXr9-i2Ap47fvNH6V8,399,a_9V9SD_AzNUHJ8tT5o40v_EoRIk_yj-TZX011aV5GPbRwOxZUNVpMrI7Rspv650gjOOIqbqT_RE-w
comebacks,tsx1oonhZRAB-k5CIsQm9F7f6AF3Il08xSmgemc4eOA,237,MwVbMbcz_D2bjpeOmAVb3RkufDVVSXrfwWHoJOtw0truro8-ixjFcMa3zqUi3vAFO2RZr-vZ9TFJfg
fox senpai,DWanLJtRb0LTORVprFnVqrvfsWbxkYVZhKY6hluxFAo,203,EaPzkFK3Q_a7xizayDgJS-p3QBSQgC5vBOWp4xI0LbHZBa9WHH0oT_LXym3PG3eCZOMP_TlcoWBBfQ
Thormetic,tViri9dijWOAfTEDvUtwbLKuUVjVZBuvH014eHac4bk,208,S6i_92AwDKeyEjUC0n8Kl7dbmgd-eX7DJJOmUcIRoW5LUOakXLcnm-5s-8HsDCNlZTp47sW88Cn_Yg
black svvan,iq1ux-Dfzfx0mJDEWcnijwBeEk_uC0d9jm4FTmnUChKE,301,SXB6f8TnFy1412irxJvixRxIzaAQD5TzbPcp8qfDWXXxxY9veNOCmRxV8K_Nc_C085G1THBo_UjhAA
Yidaruny,mRuk0vnz1FOb6TVOLCUwq-i06p-5JznMMQ_X6P3kqC2Y,457,XvEybZo9QjcwG_h9Qyxd5vTS8h3Xe2LUPSUBcYuaGebMq8wx_4HBqfA3Roo9p44iZFcHCSfPOtH6wA
Cabra Selvagem,35zEbh3YsmUqXrjhhluSQASSt_7md0bUpGsk0NE8o-6b,184,JRlbD_6LJPLhQVxpzgziHXaKmKl-p9KEwZ8Wh4rr39Df9FobOp4e2Xf7seJ05_qB9xBx5ayEXrXbzg
Sobolewski,O8rJicwxI8it-1vqgAV8pzS_B7vTkf5lwsqSn7HOaRpfO34,206,qUBRsD2fRCl4yH3nNBmIhFoe1dp2qihMC2qFzJ6010NqJ6I1kGk2UN7qu7qy5bgJzEfZRNRM68cZ8w
GGHB,qK_ZPzCutO0LC2c3ZggNuiO-KL6SbwXn9xjomOGXXas,215,Yjm1FoXeVSqnvfTarHO7tk7S65Y85Qy-HrXTvdvaLmR73P6j6DkfyxJMHKOuEpqnG5hPgsJO_gqJng
Skywaf,8e2Z5DPnTYNoHBjc5-RpuSBL0FZbth5mV1MPbKyayTRG,267,8WpPnnguD0Ub2ShD8LOAL_mrQ4UY0SGTUqyABtAMitOsfz-3FK9gUwdz3aipTY5V9AILKjsTtB2AUA
kimzin apenas,WiE9vi4DdymAX9RtpAkYYJXu6yI0GAgHueOBBFXaLfnJtEI,225,mpWQsp79Y49LCZsbF7iHEjIWzSodFcpdBULrOwPax261ds337jSjNN1cVyB3k1rG6g4pDP24QIDxnw
OTAJAVALLUBTIP,q5kznSJcv44J6SK-dqYBDHYeojVGbd4Uf2FAqX7VpA4_4E4,198,MGJKOoHwsuKhFOurhiVoFVVRA8Lf_Ndpqk4nHvM1KAHNnlenKtscGZcOHOBFIrc5vnS8Rx8QzKR3dw
Mano Zubumafu,f_psPp4fOzJPbmWNAh_K1O2OUFAUpEFcFLTSTRxFtg4ASRk,239,wd33NHfqmTbCNi7c1WCEhp9RWGGFhWywpJC9ykada-aGwNum1mPScyQFmHpa3pZZbJK4iEXeZ7XTcQ
Hit Kauling,3mKQt8mWING4tfz9gAHYzLVTdo-2HLE1oe2X_enbQLss,146,05BYHUh0rEmz7WP-ur56mCoFXLY1qE7Pf9zvAk0M6DHXRUQ9YlpMvrErTaVBuWoJQYnjVSppZK_Qqw
Niight Lovell,X59t5eCxy6IhTDQkRucB5qZKv_wNCvfnXakrIrzTMU9crh4,144,qtQvcu0ss37ewBXogxhqhPddD0d8poAJOTamtoALJCDE2_OHzeK-7WVrhiEjsnTf3YtJAwWo3yuTdw
Dunskel,mV_wvTWks__mdrIcToEoWYzLxXILZk7FXfpq_W_Hne3n,312,RytbbTVnXA32N7p1W22re-8U4Jf-UTT0DMhVfI28VLO2RKrK5Yj8xUe81rOJfMXYlkMcvwnJUpudBw
Leandro Menezes,xCfdHXwMP-3mGV4Kf1smIeRWrJu3YuL14X9wXX_Xwly3,162,Zjr3RzsgaxRzpy5FvbZ3O6e0xrOcbVeGa0B9CXgj8G3n6p7lUf_UAtRFR3CXN_kGdq7q0fjoYPheWQ
Ryek,Lh_8rJ04GptLR3kECY5dgZKsMcjcEmFpM7uLBqDh3aLU,239,tjLPZznhTDRfHj31E0RhmrcRfq66gvDNlC5uAGfFy7DoO9uGeZ3KuNPj1O-eJ5Eyt8pt3przKejk6w
Mandiocafé,odoLCokySfgLv90hyprqcRas27Hje7S9egdbyreYm1Wl,265,jksQTJfluC5sYtOY9Y1gNkK9yMt1m9Vn0sUHdy2iLaVWVTX2ryaADSGmt09dB3ZiXjHiuvKy7tGvZQ
Kuiaratame,KxhKtblhnRutqomOVuylZyhftSsnVrG2tPgu8QTZDO0t,223,igWzOXeLhTZ16WXjNhKBDnpnVTzTX0hQwIqEtR5mODTAf9xemXkwjC2fYDjbzA70WiHg0JY5qb6B0w
aujsygfbheaklo,CMdkD7kh_4-_Ene-omVF07gQ4EXX2YKLeHY_T5GEin95GXI,155,wA_l5GPlnJWJPkAmS-VqUtA9rujwdhjyW8iXpdURAaLz1xYfpIv6kSPGm7K87zJsHngduPABKIYYUg
