accountId,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,summonerLevel,puuid,win_rate
SJOBqXzGO2qHnzsPc4rLuTI_FfFVelf8xo-0J_lyyUG8tbE,DIAMONDI,1w6aewUXQ1jd2BY5m-7QSpnAKxGGFkEM_tspzmNeGv-S6D4,doguin caramelo,77,145,118,False,False,False,False,322,fBMwHZhuitWIN91FA43Ft_DbsLCb-qAZQQ0iity9fs3cdLodeRaSy1R7ztxmgiMGTjBMMglK67eZZA,0.5513307984790875
jeIxdsCDX7wDwjQy9Qx-tpa8ej5abuvvb81017oRzOU,DIAMONDI,i4lluaE7WBc2BRKsZoXUODdBhmk5_O2zf-eoE_5P_jxIvQ,Meta Slave,62,79,64,False,False,False,True,234,iB98mO83MqpiDgpC1tNoMfjVauUUWmhmSkanzyuNuJJD_n6gmG1j8DnTbH6CFHO0UHhzG8P7jrY4Ig,0.5524475524475524
R6_mRRbAx9a0YwB9QoKu2K3PR6S6uuYQM-hSGqL2m31R,DIAMONDI,XQHC-P-QA_3beI1CH706YoM22gVXzcx6qyQ7omDKNoD02A,Lord1,12,220,208,False,False,False,False,294,ZLxbrRDIV2RP_H6Y5hHUunS7ZD2Fhw9AyAlE7AQ1pslsHRGbPDUVdWsEym2vLUSPNtUjQwtddU96Ug,0.514018691588785
-4CsoEQGSnBqdjMhMfq2owljBMR5G8DUv_bezQQOdMyz,DIAMONDI,MSLQz9sHzRMMdshnaSCMcTR3Xgd5eVFBiyL2VgQY4N_jUA,ToySoldier,22,423,400,False,False,False,False,243,h4q9juHiRAjI_5qp1W0Pb3qEZgmgjZ-mK9ffre6Ohx_DwGicRd6abP_ue0VDosyes3LmSebPdGGeYg,0.5139732685297691
wvjA593IRsksw9tmp_3gg4Op70omFskfJREwr4r24zTG,DIAMONDI,tNauncJ111trHwun9iaptJ6wbnIH8A-IhvRvSJbR5U_D5g,Stalle Tenuous,0,305,304,False,False,False,False,370,oxJhBzIakS-Qmt2S5GVlXKa9zinH650YemxdTBxyyIDtb6CzZnufC1YjZB8xl5rMvvcYynpjDYWhpA,0.5008210180623974
cYUHgZ05I4r5qhVcWS9YJ8whREmnTHY48jGGCXoTqD77QXw,DIAMONDI,J4TFQjhKSoxnBy4CE3lok601Ed6IXz7XLkf_hJLsU-SGg5A,Spohn,38,682,689,False,False,False,False,343,umBGoCSlc0jrDMBzOS4xo8and45h_mBdoBi5hDrXRrS0Xln-7naZDjzmpNmBQ_3_vP8n4vMos7tBMw,0.4974471188913202
Z8Vn9y1kapmaHgF3PboneBSitevL0orTrpias5dopX26,DIAMONDI,O6DgeScpKW7L3qw0bL-oc9Sh7Za56hmTkr0lDpoDVwLAPA,celfisk,27,1149,1149,True,False,False,False,444,fcXk_CFitPqD5smbxiEF27XfMzUmTZfGEe-2MNTiTF3o1lY-S8_c33wCoKRCIjoGNFC7yro0mk0JqA,0.5
il6vhMOM4qDHZttHbQ7rH3EhMoJXO4-AanYBAsPrPPhj,DIAMONDI,rH6sVaLmpafWzqxAvVBSRimD-6JsGEg32mRXL-mpg7KrFQ,Rekky,37,216,193,False,False,False,False,206,X05FQLJKIRdgKNSD15XB4M-hFrzkiJS84OiP_9zDvZegers-82PuTpvPxWZD_38sDQv_tTNydtIQPA,0.5281173594132029
2LWgH6qLMr83P6uaGwKs3EsVSBAxnVhCqMDbC49S5gRTlEc,DIAMONDI,BPOJvuNuMQStQUS08NrKNAGht4-yJgLg0N0Ux58i_TFxHC8,uplaylikemonkey,4,290,276,False,False,False,False,227,YJ9GFIXb6s49HN_QQ_pORHI6Uu45s7ZvUbq--yrz9Pgfcf8ZVqtAqKawBz4RnvIEGda4_LUe8x_9aw,0.5123674911660777
5bz-oaj_AfqTxPKFHdnIBDIbK49Bn50Pmep6OWgN5YizYBk,DIAMONDI,sWIIM888xe_rEsaEdDeqcQT-O07lRPspU5lsuEIFa36OqMI,gabrielgamerlol,42,186,186,False,False,False,True,183,dANc9GVki_QUPVhzw74rRP5upVV-7CZvUGc-roMEFYrFssZ9hdTCvJ1ypCcecqYrenIyNAF9XuUdxA,0.5
fE2mlAU7R_XO3AMjZxn9A03pnKhxOLfvIG9cyCEA4Ly-,DIAMONDI,e3o_C5A4Vo2EntigJBNRQj4jc-i9FSBxRxEgL0IBQMyStw,Tuiu ZX,68,144,131,False,False,False,False,291,lK1ef1n_bRG0DdfGbBJnLcifOS1PBnXO23-_F9MWNArNtZFB73y2jUzLe7k9xF9T87NO4BEerpioAQ,0.5236363636363637
309nsKcckx8rIro6K6tjlrKXiDQhUVPU6Gm5-PSkK4MB0iY,DIAMONDI,JCJK5lIxsbOziJLzFdfuzldnonyGOmjtxpeSQ-Mo2mKOrLQ,ATS Neyscau,38,80,78,False,False,False,True,286,I0i4-b-Kj0AlUoba4UAv75DSLMwFzEuEZ7TGo3iTXI2bFP4ibsA0lENwpsJH_nVgPoyUnE_nKeT-AA,0.5063291139240507
jjjf0SsFtrXndwybwPIpjHc8yLN8PYM6jmP2iHmz5HdyNTg,DIAMONDI,ZjXPFWFxC_O3y865-vo9mwxdPmUkCQwXN3J2C3BdKj47MyI,GORILA 01,47,335,320,False,False,True,False,168,lYiwlsww-qQeQBEiZkyZq3sVzHWKfxAWcsX4_k1zNUjod2DCtmzwcB7rMGSXPWUNwyiInfmA1pWtBw,0.5114503816793893
5cycZyLbs8SANRGEid2uu8tm7BBARW9YA4YW4_XWSKda,DIAMONDI,wDyjQ3utWgOieBg_7ZbjAnCsdCm9i1HKxVaBai5dDS29Ww,romance361,44,417,386,False,False,False,False,374,7eTLRC9S1pzrkzEXEvPVX81VVTRufL5DAQENBmN6fIFDd6K1-ZAUt0-aR-eqTlBcCqVR1iqGmxIRTg,0.5193026151930261
ngBT3eggLIeLNDjg8nMue2rhXUzHTTJ5hVCPa7GitjLf,DIAMONDI,zSJNHdC_5OrW92Hq21KIgBWzBO6ObbEKg6tvtpfTt2j9Ig,Süb,55,408,382,False,False,False,False,255,PYgCi4i2if07aHseJzL-fw7-4zDHwcLHuBsinyM1BF5UGKRWHGJhb7Wf0BFoCJ8NRf8Ry1TEPKQgPw,0.5164556962025316
UKNVZYFXSIn0xNq3GN6Ck44sbml-4CTNZDB-HScBgAxnaGA,DIAMONDI,fffZka4AMWtzXn5EZELuUHj4GkpGHhzUrWq6Q4AnFqA2sVE,Wímpio,42,410,411,False,False,False,False,409,kMjFFYv1G-_MdBjdmncAm1MtJIUP-9q3a_cbZv8MCDAO3QiFhwDcsp9SYwFeVEOJGCFNWB0wlibsrA,0.4993909866017052
hkw6g1kaaS6ZJe2_aT_XZkoCLtDZ7feOdzDbjkkk0aXz,DIAMONDI,VPK9IHbao02RZMZj3UL-kJJp_sQeCDfuuqnuZDveI2gjGg,Azog1,39,464,427,False,False,True,False,274,CGZiWK7b7IVBYEkTXfkbYcku0SSQRuykcZBXxinClN78YXGyzhKfMdop2mWdo2M1pmRFHXQqo3EK8A,0.5207631874298541
u_p3P4f72LRwgqkwRjZJK-IkGhH2q-mY3y_L1ltREM4K,DIAMONDI,1qpWVuojYojwHTc8QZPnCnSOQd6C6JuXBrnSVZbuWvaveg,SkeletonDeath,39,139,97,False,False,False,False,111,dW1qmbX60DAdKul6dETFCxGNsXR3ELv2o9aQdNtc5EXxmCaoxvxq6aW215odtWjtSzv_LHyOYQcfIA,0.5889830508474576
wVKsWwFkO1lIFse8c90v0tRfuMbZJlkJ60H1oATdYe4zgBQ,DIAMONDI,XhuLiRw4aFKMQB3UHoaPF46TRgIt8k1i3TQeqs1TDsPoWWs,RTS shy,0,576,562,False,False,False,False,347,GjhBtv396Kbb1xXSDmr_JNM8oljb4l0wUAXCQQIEDYYqPzjvv5OKexiB7E4Exx1_6TCuT_6nt9dbNA,0.5061511423550088
Qv8KNeAUdg3eMe_MyO1h8W_oPg_2BrcdhIHKaf4G9iQWO0U,DIAMONDI,mJCFkxOlq3NKrTdABbkJD20R8GumeE7e75PckYCW3yLG8Pg,Hizo,23,183,181,False,False,False,False,228,Luhmpv1oFb6SYpTO6qCxHeI0R0jPTp1l-Qj5LlW6isrY09WJ7mPGKgL_R1Q7rSuauYoWlsnlVC3YYQ,0.5027472527472527
CqFW02_1jSRLF2eHDErlTFi2CaaB_0sV5Rd7BXdKI5H-,DIAMONDI,XndElX4WHvYupit83GVynTf358bSLX4xncDtgj5Sl-FE5g,Sens Fortress,68,547,510,False,False,True,True,437,IKN0vEkkAlgQ4ZEQGHnH6b8NlsK3KvU_1Bihv0TqJqnUKsf9wSl7E0vblVagyNi3NIriIKjD9qh_Xw,0.5175023651844843
UJgN4x9VNJgd0XgLFxUBkd019jccB9ZNqoW-ZRPDKBtq,DIAMONDI,BSxAck3P-O-hx5Hb99eDxPcnm_lIjhSUhiDLxNVt4ehHQw,CANSEIDOGAME,39,205,202,False,False,False,False,323,o3j35W9h2CbikUfnX4tzt0KyptzEAmMFpFRuiU9fl0Jab7TJsr7Srb4fp5eWLKAV1MVpKzt9NkDU6A,0.5036855036855037
